Palabra,Frecuencia
trump,6615
obama,1645
hillary,1591
president,971
clinton,882
new,877
donald,818
black,806
gop,736
white,736
watch,653
muslim,612
news,588
media,572
gets,562
one,541
us,529
says,522
video,511
bill,509
house,495
fox,433
campaign,422
people,416
cnn,410
calls,410
republican,409
republicans,397
america,396
state,386
liberal,380
fbi,369
like,366
makes,365
democrat,360
goes,357
racist,355
man,352
twitter,350
make,346
shows,339
speech,337
bernie,334
get,332
election,322
police,322
supporters,320
american,320
tells,320
back,315
