Word,Frequency
trump,54677
would,19120
people,18523
said,17830
one,17436
president,17083
like,14018
obama,13306
clinton,13098
also,12668
donald,11376
new,11319
even,11014
hillary,10743
white,10251
news,10140
us,9900
state,9047
get,8937
via,8806
could,8556
american,8106
time,8078
image,8071
going,7921
media,7855
first,7603
make,7518
told,7486
many,7439
made,6954
house,6895
campaign,6770
know,6690
think,6682
police,6657
two,6485
republican,6357
black,6323
political,6272
america,6235
video,6213
may,6173
back,6167
united,6153
government,6071
last,6018
right,5926
want,5907
say,5799
