Word,Frequency
said,72032
trump,40872
would,31585
president,23722
new,16535
state,16187
house,15923
also,15880
government,15703
united,15369
republican,15116
told,14262
could,13821
last,12585
people,12479
states,11951
one,11845
two,11489
former,10844
north,10452
donald,10216
white,10119
party,9470
security,9313
senate,8499
foreign,8401
court,8397
democratic,8330
first,8308
campaign,8259
presidential,8249
minister,8229
since,8211
national,8200
including,8099
percent,8034
tax,7984
political,7684
military,7681
election,7556
may,7506
officials,7432
many,6600
support,6588
china,6560
federal,6479
clinton,6324
administration,6287
obama,6185
according,6135
say,6101
russia,6027
called,6025
made,5965
police,5956
says,5888
republicans,5847
russian,5828
bill,5771
korea,5763
year,5730
country,5716
law,5672
million,5668
official,5658
trade,5509
group,5502
vote,5497
news,5475
next,5454
south,5352
saying,5315
make,5307
nuclear,5273
take,5239
whether,5233
department,5229
time,5221
leader,5197
congress,5153
secretary,5085
public,5005
week,4998
senator,4975
years,4971
part,4889
three,4835
office,4798
deal,4766
eu,4756
reuters,4721
tuesday,4679
international,4675
back,4646
policy,4616
wednesday,4604
rights,4599
thursday,4586
general,4580
top,4534
spokesman,4460
democrats,4407
washington,4396
european,4382
like,4358
committee,4331
leaders,4321
asked,4319
going,4286
prime,4285
islamic,4267
still,4256
statement,4253
iran,4249
meeting,4228
american,4224
friday,4214
monday,4194
help,4188
work,4115
economic,4087
chief,4075
get,4029
senior,3997
talks,3969
city,3878
think,3864
among,3845
even,3833
end,3786
members,3782
media,3769
countries,3768
plan,3752
lawmakers,3750
opposition,3738
want,3728
sanctions,3658
without,3656
intelligence,3647
move,3645
expected,3612
another,3603
billion,3583
decision,3570
several,3540
forces,3539
agency,3522
need,3498
world,3482
war,3481
power,3468
around,3431
earlier,3420
major,3410
use,3407
defense,3402
killed,3394
barack,3338
border,3325
likely,3323
order,3291
executive,3269
groups,3261
financial,3241
saudi,3214
must,3195
budget,3182
see,3169
took,3168
recent,3126
business,3114
month,3111
conservative,3070
health,3063
justice,3056
way,3036
set,3035
much,3023
legal,2994
four,2990
director,2987
governor,2978
well,2971
britain,2971
york,2967
companies,2964
put,2962
reporters,2953
syrian,2941
coalition,2930
candidate,2894
supreme,2888
already,2888
held,2875
legislation,2828
used,2826
ministry,2821
control,2818
local,2817
human,2798
day,2798
seen,2788
head,2780
voters,2758
plans,2747
case,2727
least,2711
chinese,2699
report,2694
long,2686
go,2683
air,2665
change,2658
missile,2654
social,2631
clear,2628
days,2624
ruling,2622
hillary,2620
syria,2607
accused,2604
immigration,2603
attacks,2600
investigation,2590
close,2584
korean,2582
efforts,2577
issue,2576
early,2575
number,2571
myanmar,2548
nations,2542
come,2532
army,2529
union,2502
congressional,2500
possible,2497
call,2494
ban,2492
came,2467
central,2459
working,2456
due,2450
later,2449
attack,2441
information,2439
months,2439
force,2424
oil,2422
visit,2402
reported,2383
far,2379
representatives,2373
might,2364
right,2358
known,2351
agreement,2350
turkey,2327
win,2324
following,2323
region,2313
ahead,2310
parliament,2300
member,2296
healthcare,2294
chairman,2294
lead,2292
left,2289
sunday,2279
majority,2275
representative,2273
past,2251
ties,2245
john,2222
despite,2222
peace,2222
role,2221
home,2198
across,2197
five,2196
authorities,2195
taking,2192
meet,2190
give,2187
declined,2179
regional,2177
late,2173
capital,2172
program,2172
continue,2167
council,2164
agreed,2163
relations,2162
become,2161
civil,2159
allow,2155
attorney,2154
british,2152
fight,2151
found,2150
sources,2149
nearly,2146
wants,2144
private,2144
led,2141
denied,2135
speech,2125
rule,2122
current,2120
making,2108
global,2103
source,2103
action,2097
judge,2092
hold,2088
democrat,2085
good,2082
money,2078
high,2073
women,2069
open,2067
keep,2067
comment,2064
parties,2064
place,2060
trying,2055
cut,2049
